iter	Passed	Remaining
399	89495	44747
400	89697	44513
401	89857	44258
402	90027	44008
403	90184	43752
404	90356	43504
405	90510	43248
406	90686	43003
407	90931	42791
408	91225	42601
409	91442	42375
410	91750	42191
411	91933	41950
412	92123	41711
413	92277	41458
414	92455	41214
415	92674	40990
416	92889	40764
417	93076	40526
418	93245	40280
419	93416	40035
420	93734	39853
421	93906	39609
422	94081	39367
423	94228	39113
424	94389	38866
425	94539	38614
426	94707	38370
427	94898	38136
428	95077	37898
429	95217	37644
430	95380	37399
431	95577	37169
432	95798	36947
433	96026	36729
434	96210	36493
435	96381	36253
436	96543	36010
437	96747	35783
438	96910	35541
439	97082	35302
440	97310	35084
441	97571	34878
442	97809	34663
443	98050	34450
444	98273	34230
445	98510	34014
446	98720	33790
447	98916	33560
448	99139	33340
449	99273	33091
450	99443	32853
451	99611	32616
452	99803	32386
453	99946	32141
454	100116	31905
455	100270	31664
456	100444	31429
457	100602	31191
458	100783	30959
459	100944	30722
460	101116	30488
461	101266	30248
462	101434	30013
463	101600	29779
464	101788	29551
465	102036	29341
466	102297	29134
467	102554	28925
468	102820	28719
469	103048	28502
470	103262	28282
471	103509	28070
472	103693	27841
473	103906	27620
474	104053	27382
475	104218	27149
476	104384	26916
477	104579	26691
478	104725	26454
479	104926	26231
480	105073	25995
481	105238	25763
482	105392	25529
483	105574	25302
484	105721	25067
485	105919	24845
486	106074	24612
487	106248	24384
488	106396	24151
489	106583	23926
490	106720	23691
491	106940	23474
492	107164	23258
493	107349	23034
494	107528	22809
495	107673	22576
496	107857	22352
497	108010	22122
498	108183	21896
499	108427	21685
500	108619	21463
501	108833	21246
502	108984	21016
503	109142	20789
504	109303	20562
505	109478	20337
506	109622	20108
507	109787	19882
508	109956	19658
509	110129	19434
510	110274	19206
511	110496	18991
512	110680	18770
513	110875	18551
514	111021	18323
515	111191	18100
516	111433	17889
517	111650	17674
518	111845	17455
519	112028	17235
520	112184	17010
521	112347	16787
522	112559	16571
523	112841	16366
524	113058	16151
525	113265	15934
526	113483	15719
527	113674	15501
528	113914	15289
529	114167	15078
530	114397	14865
531	114587	14646
532	114778	14428
533	114933	14205
534	115096	13983
535	115242	13760
536	115404	13539
537	115569	13318
538	115748	13099
539	115901	12877
540	116139	12665
541	116367	12452
542	116595	12239
543	116803	12023
544	116995	11806
545	117167	11587
546	117330	11368
547	117513	11150
548	117783	10941
549	118096	10736
550	118258	10516
551	118434	10298
552	118588	10078
553	118751	9860
554	118921	9642
555	119087	9424
556	119239	9205
557	119406	8987
558	119662	8776
559	119898	8564
560	120083	8348
561	120264	8131
562	120413	7913
563	120588	7697
564	120760	7480
565	120931	7264
566	121076	7046
567	121226	6829
568	121387	6613
569	121580	6398
570	121733	6182
571	121908	5967
572	122131	5754
573	122346	5541
574	122624	5331
575	122796	5116
576	122975	4901
577	123121	4686
578	123296	4471
579	123457	4257
580	123632	4043
581	123868	3830
582	124041	3616
583	124190	3402
584	124325	3187
585	124479	2973
586	124659	2760
587	124834	2547
588	124984	2334
589	125240	2122
590	125389	1909
591	125568	1696
592	125734	1484
593	125911	1271
594	126079	1059
595	126357	848
596	126531	635
597	126713	423
598	126893	211
599	127120	0
