iter	MAE
216	0.2541616104
217	0.2540639047
218	0.2539168067
219	0.2536651915
220	0.2536010882
221	0.2533973062
222	0.2532839187
223	0.2531594308
224	0.2529786314
225	0.2528846882
226	0.2527457105
227	0.252615668
228	0.2524536045
229	0.25234712
230	0.2522617574
231	0.252161082
232	0.2520798864
233	0.2519752575
234	0.2518020453
235	0.2516043629
236	0.2514763674
237	0.2513620367
238	0.2512543458
239	0.2510950829
240	0.2509548392
241	0.2508474215
242	0.2506960496
243	0.2505308915
244	0.2503869824
245	0.2503057594
246	0.250229018
247	0.2499653057
248	0.2498458569
249	0.2497182964
250	0.2495826052
251	0.2494843557
252	0.2493696082
253	0.2493017167
254	0.2491819847
255	0.2490638971
256	0.2488840215
257	0.2488294301
258	0.2487109209
259	0.2485954856
260	0.2485141641
261	0.2484319631
262	0.2483341297
263	0.2481603719
264	0.2480443228
265	0.2479342833
266	0.2478509451
267	0.247741369
268	0.2475798791
269	0.2474582465
270	0.2473027958
271	0.2470135033
272	0.2469387192
273	0.2467373806
274	0.246627993
275	0.2465494435
276	0.2463838564
277	0.2462473215
278	0.2462049368
279	0.2460309086
280	0.2459361733
281	0.2458789817
282	0.2456864414
283	0.2455744651
284	0.2454670688
285	0.2453786422
286	0.2452235058
287	0.2451647437
288	0.2450625154
289	0.2449886593
290	0.2448447029
291	0.2447657516
292	0.2446523867
293	0.2445863513
294	0.2445129453
295	0.2444066895
296	0.2443386151
297	0.2442501045
298	0.2441990809
299	0.2441082671
300	0.2440366082
301	0.2439557508
302	0.2438395981
303	0.2437544161
304	0.2437032112
305	0.2435783178
306	0.2435039368
307	0.2433872933
308	0.2432852789
309	0.2431694257
310	0.2430992427
311	0.2430600467
312	0.2429619178
313	0.2428832721
314	0.2428071092
315	0.2427029873
316	0.2426194197
317	0.2425295054
318	0.2424169261
319	0.2423510664
320	0.2422465242
321	0.2421569295
322	0.2420868802
323	0.2419757865
324	0.2418684923
325	0.2418023538
326	0.2417294833
327	0.2416894706
328	0.2416262728
329	0.2415580097
330	0.2414675276
331	0.2413558808
332	0.2413055756
333	0.2411940192
334	0.241113152
335	0.2409918763
336	0.2408965959
337	0.2408465478
338	0.2407370521
339	0.2406661604
340	0.2405818999
341	0.2404894503
342	0.2404092658
343	0.2403395522
344	0.2402225362
345	0.240132442
346	0.2400421894
347	0.2399773663
348	0.239911129
349	0.2398562736
350	0.2398037111
351	0.2397536025
352	0.2396957502
353	0.2396498891
354	0.239556654
355	0.2394769565
356	0.2393876089
357	0.2392426849
358	0.2390476487
359	0.2389884265
360	0.2389253858
361	0.2388692377
362	0.2387981122
363	0.2386980987
364	0.2385947433
365	0.2385010299
366	0.2384407768
367	0.2383681783
368	0.2382457914
369	0.2381818274
370	0.2380956695
371	0.2380281701
372	0.237937029
373	0.2378520773
374	0.2377812964
375	0.2377059863
376	0.2376553889
377	0.2375500081
378	0.2375035436
379	0.2374387663
380	0.2373672614
381	0.2372456163
382	0.2370934928
383	0.2370288734
384	0.2369437081
385	0.2368529292
386	0.2367637868
387	0.2367235264
388	0.2366368054
389	0.2365677673
390	0.2364970107
391	0.2364303881
392	0.2363465054
393	0.2362568672
394	0.2361376048
395	0.2360708575
396	0.2360445249
397	0.2359675688
398	0.2358771996
399	0.2357838712
400	0.2357235004
401	0.2356142063
402	0.235542671
403	0.2354014168
404	0.2353088857
405	0.2352395849
406	0.2351743457
407	0.2351158474
408	0.2350692913
409	0.2350334291
410	0.234960963
411	0.2348702673
412	0.2348372582
413	0.2347743142
414	0.2346564906
415	0.2345623084
416	0.2345208893
417	0.2343489797
418	0.2342875942
419	0.2342396876
420	0.2341509747
421	0.2340685845
422	0.234006947
423	0.2339569398
424	0.2339148275
425	0.2337953865
426	0.2337383469
427	0.2336367532
428	0.2335524259
429	0.2334869518
430	0.2334277853
431	0.2333914079
432	0.2333159348
433	0.2332511632
434	0.2331928121
435	0.23308743
436	0.2330200549
437	0.2329371893
438	0.2328472687
439	0.2327612691
440	0.2326968598
441	0.2326462937
442	0.2325551659
443	0.2325073631
444	0.2324475461
445	0.2323984519
446	0.2323293856
447	0.2322381999
448	0.2321331413
449	0.2320626344
450	0.2319639808
451	0.2318817684
452	0.2318176692
453	0.2317495377
454	0.2316437736
455	0.2315401836
456	0.2314896168
457	0.231432556
458	0.2313650908
459	0.2312641634
460	0.2312242993
461	0.2311670039
462	0.2311217765
463	0.2310735653
464	0.2310097598
465	0.2309578363
466	0.2309115377
467	0.230764051
468	0.2306909672
469	0.2306646564
470	0.2305755342
471	0.2304893583
472	0.2304123828
473	0.2303553003
474	0.230312503
475	0.2302459095
476	0.2301962823
477	0.2301121273
478	0.2300616789
479	0.2299676595
480	0.2298286688
481	0.229776118
482	0.2297128197
483	0.2296312344
484	0.2295457492
485	0.2295142216
486	0.2294661629
487	0.2293758126
488	0.2293263453
489	0.2292673358
490	0.229211292
491	0.2291613545
492	0.2290756088
493	0.2290302649
494	0.2289796352
495	0.22891563
496	0.2288419616
497	0.2287646063
498	0.2286940945
499	0.228657938
500	0.2286045173
501	0.2285515395
502	0.2285005769
503	0.2284437507
504	0.2283856418
505	0.2283262667
506	0.2282924525
507	0.2281966529
508	0.2281599917
509	0.2281190705
510	0.2280663181
511	0.2280217302
512	0.2279393898
513	0.2278571776
514	0.2277954304
515	0.2277399147
516	0.2276696376
517	0.2276243469
518	0.2274988909
519	0.2274615416
520	0.2274011892
521	0.2273751529
522	0.2272983211
523	0.2272473169
524	0.2271892961
525	0.2271517426
526	0.2270960793
527	0.2270210085
528	0.2269682809
529	0.2269256152
530	0.2268863888
531	0.2268165445
532	0.2267659111
533	0.2266778603
534	0.2266340029
535	0.2265785348
536	0.2265318079
537	0.2264931678
538	0.2264503857
539	0.226389831
540	0.2263332172
541	0.2262640943
542	0.2262185623
543	0.2261727219
544	0.2261302182
545	0.2260724511
546	0.2259842887
547	0.2259003813
548	0.2258214545
549	0.2257681632
550	0.225706428
551	0.2256527982
552	0.2255607172
553	0.2255036938
554	0.2254677583
555	0.2254048818
556	0.2253342629
557	0.2252541751
558	0.2251996913
559	0.2251697213
560	0.2251288427
561	0.2250775834
562	0.2250377227
563	0.2249863738
564	0.2249251864
565	0.2248620665
566	0.2247830546
567	0.2247206606
568	0.2246736578
569	0.2246299553
570	0.2245761127
571	0.2244994047
572	0.2244565234
573	0.2244240236
574	0.2243760292
575	0.2243434672
576	0.2242533024
577	0.2241886383
578	0.2241176737
579	0.2240774021
580	0.2240009657
581	0.2239497882
582	0.223914383
583	0.2238481103
584	0.2238002118
585	0.2237391163
586	0.2236906342
587	0.2236783516
588	0.22364665
589	0.2235986888
590	0.2235573366
591	0.223487366
592	0.2234135862
593	0.2233601776
594	0.2233269444
595	0.2232928491
596	0.2232478085
597	0.2232068105
598	0.2231742052
599	0.2230945299
